id,uuid,image_url,latitude,longitude,place_county_name,place_state_name
224310991,953b85f7-822f-4201-a8c0-c49afffb9836,https://inaturalist-open-data.s3.amazonaws.com/photos/397545258/medium.jpeg,-18.251675209,-69.1769303195,Parinacota,Arica y Parinacota
224491235,2865e1d1-e772-4215-9a14-c028a7c8110c,https://inaturalist-open-data.s3.amazonaws.com/photos/397885879/medium.jpeg,-18.1680291379,-69.4301001728,Parinacota,Arica y Parinacota
225495139,5dea4646-c864-48cb-9154-e11a7ad6cd52,https://inaturalist-open-data.s3.amazonaws.com/photos/399803909/medium.jpg,-15.752995,-71.583175,Caylloma,Arequipa
226593332,54aa27ae-2a3e-4cad-8aad-f1d4257746df,https://inaturalist-open-data.s3.amazonaws.com/photos/401888667/medium.jpg,-21.7266033333,-67.524795,Nor Lípez,Potosí
226619534,f6b28e48-829a-4b3a-bbd9-104e0f93ddae,https://inaturalist-open-data.s3.amazonaws.com/photos/401931436/medium.jpg,-23.1659418367,-65.0502194821,Humahuaca,Jujuy
228326425,21740be0-81d4-4fa3-8d30-5615a6162b3d,https://inaturalist-open-data.s3.amazonaws.com/photos/405158426/medium.jpg,-18.20266025,-69.2665933889,Parinacota,Arica y Parinacota
228938259,ec899f68-238b-481f-8939-c13424cda657,https://static.inaturalist.org/photos/406328114/medium.jpeg,-16.3833431959,-71.3179642707,Arequipa,Arequipa
229137244,c3c9d4f6-181d-4447-98f8-c199c142be12,https://inaturalist-open-data.s3.amazonaws.com/photos/406696623/medium.jpeg,-18.2513252999,-69.1774196219,Parinacota,Arica y Parinacota
229137248,32c4f153-fd35-41e2-9b64-860406094fc4,https://inaturalist-open-data.s3.amazonaws.com/photos/406696733/medium.jpeg,-18.2513724001,-69.1773860781,Parinacota,Arica y Parinacota
229141372,2604841e-8e3c-429b-8377-77c68b3908ce,https://inaturalist-open-data.s3.amazonaws.com/photos/406705298/medium.jpeg,-18.1681733471,-69.4298654075,Parinacota,Arica y Parinacota
230066367,d9ae0053-ff0a-4332-96cb-92b9cf612e28,https://static.inaturalist.org/photos/408464762/medium.jpeg,-21.0654516667,-65.4884433333,Nor Chichas,Potosí
230363553,2a034072-dc28-4a3a-b1ae-67ca8fb59c92,https://inaturalist-open-data.s3.amazonaws.com/photos/409024003/medium.jpg,-22.3742409861,-68.0307107514,El Loa,Antofagasta
230593723,718d69f4-fb22-47b0-be96-06f5553ef8eb,https://inaturalist-open-data.s3.amazonaws.com/photos/409457111/medium.jpeg,-19.55075225,-65.89200093,Tomás Frías,Potosí
230908367,4eb25568-9708-4c35-b581-e5b3f7029641,https://inaturalist-open-data.s3.amazonaws.com/photos/410048019/medium.jpeg,-15.600616767,-72.5130654126,Castilla,Arequipa
231529866,a6a1f80b-5f55-430d-9449-70741905b1cb,https://static.inaturalist.org/photos/411272485/medium.jpeg,-21.06552865,-65.4885807167,Nor Chichas,Potosí
231726647,c2760c5e-6302-42cd-8055-78a4ac91932c,https://static.inaturalist.org/photos/411604422/medium.jpeg,-21.0654959833,-65.4879377139,Nor Chichas,Potosí
