id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
136520743,Diego Almendras G.,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233011559/medium.jpg,-29.9682833333,-71.372025,Elqui,Coquimbo,Cistanthe grandiflora,Pata de guanaco
136582067,ana lopez,,https://static.inaturalist.org/photos/233126632/medium.jpg,-33.2487916599,-71.69317,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
136742389,Ariel Cabrera Foix,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233422914/medium.jpg,-31.0733633333,-71.6166416667,Limarí,Coquimbo,Cistanthe grandiflora,Pata de guanaco
136915182,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233745286/medium.jpg,-28.2175799265,-71.0750489921,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
136915184,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233745312/medium.jpg,-28.2182605982,-71.0760789603,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
136915186,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233745340/medium.jpg,-28.2177311872,-71.075907299,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
136915188,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233745371/medium.jpg,-28.2172193,-71.0747915,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
136915190,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/233745416/medium.jpg,-28.217504296,-71.0749631614,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
137011317,Sol Vega,,https://static.inaturalist.org/photos/233925534/medium.jpeg,-29.7360296993,-71.2982034311,Elqui,Coquimbo,Cistanthe grandiflora,Pata de guanaco
137190045,Francisco E. Fonturbel,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/234255365/medium.jpg,-32.9365383333,-71.0859971667,Quillota,Valparaíso,Cistanthe grandiflora,Pata de guanaco
137239091,Javiera Trapp,,https://static.inaturalist.org/photos/234352421/medium.jpg,-33.371075,-71.69438,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
